cp,ciudad,X,Y,lugar,pais 
20162,Niguarda,45.465,9.188,Milan,Italia
20161,Bruzzano,45.5261,9.175,Milan,Italia
20161,Affori,45.4971,9.1802,Milan,Italia
20157,Quarto oggiaro,45.5163,9.1367,Milan,Italia
20157,Vialba,45.4895,9.1644,Milan,Italia
20153,Trenno,45.5863,9.1614,Milan,Italia
20153,Figino,45.7107,9.1313,Milan,Italia
20152,Baggio,45.458,9.0921,Milan,Italia
20151,Musocco,45.504,9.1269,Milan,Italia
20143,Barona,45.4379,9.1538,Milan,Italia
20142,Gratosoglio,45.4135,9.1723,Milan,Italia
20139,Chiaravalle milanese,45.4177,9.2405,Milan,Italia
20138,Rogoredo,45.4311,9.2434,Milan,Italia
20134,Lambrate,45.4828,9.2405,Milan,Italia
20127,Crescenzago,45.508,9.2465,Milan,Italia
20125,Greco,45.5011,9.2105,Milan,Italia
20125,Precotto,45.4848,9.1997,Milan,Italia
20125,Gorla,45.4848,9.2006,Milan,Italia
20100,Milano,45.4656,9.1887,Milan,Italia
20099,Sesto san giovanni,45.5332,9.2348,Milan,Italia
20098,Borgo lombardo,45.3962,9.2672,Milan,Italia
20098,San giuliano milanese,45.3963,9.2865,Milan,Italia
20098,Sesto ulteriano,45.3968,9.2491,Milan,Italia
20097,Poasco,45.4011,9.2307,Milan,Italia
20097,Sorigherio,45.4107,9.2483,Milan,Italia
20097,San donato milanese,45.419,9.2678,Milan,Italia
20097,Metanopoli,45.4102,9.2479,Milan,Italia
20096,Pioltello,45.5065,9.3329,Milan,Italia
20096,Seggiano,45.4887,9.3222,Milan,Italia
20096,Limito,45.4833,9.3291,Milan,Italia
20095,Milanino,45.5537,9.1847,Milan,Italia
20095,Cusano milanino,45.5529,9.1828,Milan,Italia
20094,Corsico,45.4307,9.1107,Milan,Italia
20093,Cologno monzese,45.5315,9.2781,Milan,Italia
20093,San maurizio al lambro,45.529,9.2766,Milan,Italia
20092,Cinisello balsamo,45.5578,9.2231,Milan,Italia
20091,Bresso,45.538,9.1898,Milan,Italia
20090,Buccinasco,45.4148,9.1062,Milan,Italia
20090,Vimodrone,45.5156,9.286,Milan,Italia
20090,San felice,45.4744,9.3077,Milan,Italia
20090,Rodano,45.4763,9.3532,Milan,Italia
20090,Assago,45.4097,9.1253,Milan,Italia
20090,Linate aeroporto,45.4533,9.2187,Milan,Italia
20090,Cesano boscone,45.4429,9.0943,Milan,Italia
20090,Monzoro,45.4528,9.2182,Milan,Italia
20090,Segrate,45.4971,9.2924,Milan,Italia
20090,Tregarezzo,45.4542,9.2195,Milan,Italia
20090,Caleppio,45.4337,9.3822,Milan,Italia
20090,Trezzano sul naviglio,45.4236,9.0676,Milan,Italia
20090,Opera,45.3718,9.21,Milan,Italia
20090,Lucino,45.7835,9.0417,Milan,Italia
20090,Noverasco,45.3964,9.2135,Milan,Italia
20090,Sporting mirasole,45.4524,9.2197,Milan,Italia
20090,Romano banco,45.4531,9.219,Milan,Italia
20090,Zingone,45.4538,9.2171,Milan,Italia
20090,Cusago,45.4503,9.0361,Milan,Italia
20090,Zingone di trezzano sul naviglio,45.4538,9.2182,Milan,Italia
20090,Novegro,45.4676,9.2823,Milan,Italia
20090,Fizzonasco,45.3736,9.1898,Milan,Italia
20090,Premenugo,45.4532,9.2173,Milan,Italia
20090,Pieve emanuele,45.3507,9.2015,Milan,Italia
20090,Millepini,45.4533,9.2177,Milan,Italia
20090,Settala,45.4549,9.3876,Milan,Italia
20090,Pantigliate,45.4356,9.3524,Milan,Italia
20089,Rozzano,45.381,9.1611,Milan,Italia
20089,Quinto de stampi,45.3956,9.1703,Milan,Italia
20088,Rosate,45.3532,9.0178,Milan,Italia
20088,Gudo visconti,45.3741,9.0001,Milan,Italia
20087,Robecco sul naviglio,45.4377,8.8847,Milan,Italia
20087,Casterno,45.4376,8.8841,Milan,Italia
20086,Motta visconti,45.2895,8.9939,Milan,Italia
20085,Locate di triulzi,45.3569,9.2271,Milan,Italia
20084,Lacchiarella,45.3252,9.1386,Milan,Italia
20083,Gaggiano,45.4044,9.0363,Milan,Italia
20083,San vito,45.4176,9.0009,Milan,Italia
